Date,Open,High,Low,Close,Volume,Adj Close
2014-02-03,0.37,0.37,0.31,0.34,34882400,0.34
2014-01-31,0.38,0.39,0.35,0.37,26854800,0.37
2014-01-30,0.35,0.38,0.34,0.38,35750800,0.38
2014-01-29,0.40,0.42,0.23,0.33,62163900,0.33
2014-01-28,0.40,0.48,0.35,0.39,117547600,0.39
2014-01-27,0.32,0.40,0.32,0.40,82259600,0.40
2014-01-24,0.28,0.32,0.28,0.31,56732500,0.31
2014-01-23,0.24,0.29,0.24,0.27,81626100,0.27
2014-01-22,0.20,0.23,0.20,0.23,40329700,0.23
2014-01-21,0.20,0.20,0.19,0.19,10284000,0.19
2014-01-17,0.20,0.20,0.18,0.19,13179300,0.19
2014-01-16,0.20,0.20,0.19,0.19,13121600,0.19
2014-01-15,0.20,0.21,0.19,0.20,16705100,0.20
2014-01-14,0.20,0.21,0.20,0.20,18752100,0.20
2014-01-13,0.19,0.21,0.19,0.20,21470600,0.20
2014-01-10,0.20,0.22,0.16,0.19,37318400,0.19
2014-01-09,0.19,0.24,0.19,0.20,73410400,0.20
2014-01-08,0.17,0.19,0.17,0.19,51916800,0.19
2014-01-07,0.17,0.18,0.16,0.17,31010900,0.17
2014-01-06,0.16,0.18,0.16,0.17,32225400,0.17
2014-01-03,0.19,0.19,0.14,0.15,60515800,0.15
2014-01-02,0.16,0.33,0.16,0.19,82275300,0.19
2013-12-31,0.14,0.20,0.14,0.16,54342700,0.16
2013-12-30,0.11,0.13,0.11,0.13,25484700,0.13
2013-12-27,0.11,0.11,0.10,0.11,4487500,0.11
2013-12-26,0.10,0.11,0.10,0.11,8029700,0.11
2013-12-24,0.10,0.10,0.10,0.10,1754200,0.10
2013-12-23,0.10,0.10,0.10,0.10,6730000,0.10
2013-12-20,0.10,0.10,0.10,0.10,2310900,0.10
2013-12-19,0.10,0.11,0.10,0.10,4478100,0.10
2013-12-18,0.10,0.10,0.10,0.10,3226300,0.10
